File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_Action(unsigned int action),8,7,7,0,1,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_SetupAutoAction(void),20,17,11,1,2,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_Process(void),14,12,7,1,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_NomalProcess(void),55,52,26,5,2,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_NomalAction(unsigned int direction),16,13,13,2,3,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_DiagProcess(void),21,20,10,1,0,2,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,"Operate_DiagAction(unsigned int direction, unsigned int is_auto)",22,16,14,3,5,0,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_CheckRange(void),50,49,32,1,1,1,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_SelectAAFxMode(void),27,25,14,3,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_SelectTxPostion(void),17,16,8,1,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_HandleStall(void),37,32,22,2,3,3,2,18,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_CheckCondition(void),30,24,18,1,5,4,1,7,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_Init(void),41,30,19,8,11,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Operate_Finish(void),59,52,38,3,5,10,2,21,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Operating_Mode.c,Torque_TestMode(void),37,36,22,6,1,3,0,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Proteciton_Reset(void),9,9,9,0,0,1,0,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_Delay(void),7,7,5,1,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_StartMotor(void),19,17,13,1,0,7,2,47,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_StallCheck(void),17,16,14,1,0,1,1,10,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_UpdateFinal(void),5,4,4,0,0,0,1,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_Cycle1(void),12,12,7,4,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_Cycle2(void),15,15,9,5,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Protection_Mode.c,Protection_Mode(void),14,12,6,2,0,0,2,14,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Re_Init.c,Re_Init(void),24,23,23,0,0,3,1,16,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Re_Init.c,Step_LoadData(void),20,19,19,0,0,0,1,2,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Re_Init.c,Step_Check(void),64,52,24,2,5,0,7,36,
